grlivarea,bsmtfinsf1,overallqual,neighborhood_NridgHt,exterqual,garagearea,bsmtexposure,neighborhood_StoneBr,overallcond,masvnrarea,kitchenqual,bldgtype_TwnhsE,bsmtunfsf,bsmtfintype1_None,bsmtqual,bldgtype_Twnhs,exterior1st_BrkFace,functional_Typ,agesold,yearbuilt,neighborhood_GrnHill,garagefinish_RFn,mssubclass_20,roofmatl_WdShngl,masvnr,neighborhood_NoRidge,bedroomabvgr,masvnrtype_Stone,fireplaces,lotarea
1479,533.0,6,0,4,475.0,1,0,8,289.0,4,0,192.0,0,3,0,0,1,34,1976,0,1,0,0,1,0,3,0,0,13517
2122,637.0,7,0,4,559.0,1,0,5,132.0,4,0,276.0,0,4,0,0,1,13,1996,0,1,0,0,1,0,4,0,1,11492
1057,731.0,5,0,3,246.0,1,0,7,0.0,4,0,326.0,0,3,0,0,1,57,1953,0,0,1,0,0,0,3,0,0,7922
1444,0.0,5,0,3,400.0,1,0,5,0.0,3,0,384.0,0,4,0,0,1,4,2006,0,0,0,0,0,0,3,0,0,9802
1445,0.0,6,0,3,484.0,1,0,8,0.0,3,0,676.0,0,2,0,0,1,110,1900,0,0,0,0,0,0,3,0,0,14235
1888,247.0,6,0,4,578.0,1,0,6,0.0,4,0,557.0,0,3,0,1,0,44,1966,0,0,1,0,0,0,2,0,1,16492
1072,547.0,6,0,3,525.0,4,0,5,82.0,3,1,0.0,0,4,0,0,1,1,2005,0,0,0,0,1,0,2,0,0,3675
1188,1000.0,5,0,3,531.0,1,0,5,180.0,3,0,188.0,0,3,0,0,1,51,1959,0,1,1,0,1,0,3,0,0,12160
924,292.0,5,0,3,420.0,1,0,5,0.0,3,0,632.0,0,3,0,0,1,55,1952,0,0,1,0,0,0,2,0,0,15783
2080,650.0,5,0,3,504.0,3,0,5,192.0,2,0,390.0,0,4,0,0,1,38,1969,0,0,0,0,1,0,5,0,2,11606
987,387.0,6,0,3,264.0,1,0,5,232.0,3,0,96.0,0,3,1,0,1,37,1971,0,0,0,0,1,0,2,0,0,1680
1208,393.0,7,0,4,632.0,3,0,5,0.0,4,0,815.0,0,4,0,0,1,1,2005,0,1,1,0,0,0,2,0,0,7488
2016,0.0,5,0,4,576.0,0,0,7,0.0,3,0,0.0,1,0,0,0,0,129,1880,0,0,0,0,0,0,4,0,1,26400
1607,813.0,8,0,4,480.0,1,0,5,456.0,4,0,147.0,0,4,1,0,1,9,1999,0,0,0,0,1,0,3,0,0,2645
1361,24.0,7,0,4,610.0,3,0,5,0.0,4,0,1327.0,0,4,0,0,1,1,2007,0,1,1,0,0,0,3,0,0,9627
1430,0.0,5,0,3,624.0,3,0,5,0.0,4,0,1430.0,0,5,0,0,1,6,2004,0,1,1,0,0,0,3,0,0,10114
1344,0.0,5,0,3,513.0,1,0,5,0.0,3,0,624.0,0,3,0,0,1,92,1916,0,0,0,0,0,0,4,0,0,4571
1121,651.0,5,0,3,480.0,1,0,6,0.0,3,0,470.0,0,3,0,0,1,46,1963,0,0,1,0,0,0,3,0,0,8816
1285,0.0,6,0,3,528.0,1,0,5,148.0,3,0,660.0,0,3,0,0,1,30,1977,0,1,1,0,1,0,3,0,1,8197
1547,24.0,7,0,3,614.0,2,0,5,0.0,4,0,732.0,0,4,0,0,1,1,2009,0,0,0,0,0,0,3,0,0,8640
894,492.0,5,0,3,450.0,1,0,5,0.0,3,0,402.0,0,4,0,0,1,39,1968,0,0,1,0,0,0,3,0,1,8724
1659,1158.0,8,0,4,499.0,1,1,5,0.0,5,1,343.0,0,4,0,0,1,9,2000,0,0,0,0,0,0,2,0,1,5664
2253,0.0,8,1,4,575.0,3,0,5,0.0,5,0,1209.0,0,5,0,0,1,1,2005,0,0,0,0,0,0,3,0,1,12867
1187,935.0,6,0,3,420.0,1,0,7,0.0,3,0,233.0,0,4,0,0,1,18,1992,0,0,1,0,0,0,3,0,0,7980
1056,1056.0,5,0,3,572.0,2,0,5,0.0,3,0,0.0,0,3,0,0,1,51,1955,0,0,0,0,0,0,3,0,0,34650
1453,1312.0,6,0,3,530.0,1,0,6,3.0,3,0,141.0,0,3,0,0,1,48,1961,0,1,1,0,1,0,3,0,1,10573
894,553.0,5,0,3,336.0,1,0,8,0.0,3,0,224.0,0,3,0,0,1,45,1965,0,0,1,0,0,0,3,0,1,8450
1938,606.0,5,0,3,240.0,1,0,6,0.0,4,0,336.0,0,3,0,0,0,71,1937,0,0,0,0,0,0,4,0,1,11700
1991,0.0,5,0,3,0.0,1,0,6,0.0,3,0,957.0,0,3,0,0,1,112,1895,0,0,0,0,0,0,4,0,0,8250
924,0.0,5,0,3,576.0,2,0,7,0.0,3,0,672.0,0,3,0,0,1,58,1949,0,0,0,0,0,0,3,0,1,8064
2524,1104.0,8,0,4,542.0,1,0,5,0.0,4,0,1420.0,0,4,0,1,1,28,1981,0,0,1,1,0,0,4,0,1,9600
1517,0.0,8,0,3,400.0,1,0,7,0.0,4,0,792.0,0,4,0,1,1,77,1929,0,0,0,0,0,0,3,0,2,11435
1494,437.0,8,0,4,481.0,3,0,5,0.0,5,1,0.0,0,4,0,1,1,11,1995,0,0,0,0,0,0,2,0,1,9549
948,441.0,6,0,3,410.0,1,0,6,0.0,3,0,507.0,0,3,0,0,1,55,1952,0,0,1,0,0,0,2,0,0,10950
1718,1288.0,8,0,4,826.0,4,0,5,336.0,4,0,417.0,0,5,0,0,1,2,2007,0,1,1,0,1,0,3,1,1,10637
1142,0.0,6,0,3,384.0,4,0,6,82.0,3,0,160.0,0,4,0,0,1,51,1958,0,1,1,0,1,0,2,0,1,9000
1475,548.0,5,0,3,336.0,1,0,6,0.0,3,1,36.0,0,3,0,0,1,29,1977,0,1,0,0,0,0,4,0,1,2665
1844,705.0,6,0,3,546.0,1,0,6,480.0,3,0,1139.0,0,4,0,0,1,33,1977,0,1,1,0,1,0,3,0,1,11751
1242,916.0,7,0,3,528.0,1,0,6,320.0,3,0,326.0,0,3,0,0,1,34,1973,0,0,1,0,1,0,3,0,1,9600
990,420.0,5,0,3,384.0,1,0,7,0.0,3,0,570.0,0,4,0,0,1,13,1994,0,0,1,0,0,0,3,0,0,8428
1256,830.0,5,0,4,276.0,1,0,6,0.0,3,0,136.0,0,3,0,0,1,43,1965,0,0,1,0,0,0,3,0,0,9937
2076,1386.0,10,1,5,850.0,4,0,5,0.0,5,0,690.0,0,5,0,0,1,0,2006,0,0,1,0,0,0,2,0,1,13891
1110,1097.0,5,0,3,602.0,3,0,6,104.0,4,0,0.0,0,4,0,0,1,31,1978,0,0,0,0,1,0,1,0,1,9101
1795,0.0,5,0,3,352.0,1,0,5,335.0,3,0,1050.0,0,3,0,0,1,54,1954,0,0,0,0,1,0,4,0,0,12150
1040,906.0,5,0,3,384.0,1,0,5,0.0,3,0,134.0,0,3,0,0,1,43,1965,0,0,1,0,0,0,3,0,0,11200
1873,210.0,8,0,3,786.0,1,0,6,40.0,3,0,398.0,0,3,0,1,1,73,1935,0,0,0,0,1,0,4,1,2,9670
1604,408.0,5,0,3,660.0,1,0,5,0.0,3,0,156.0,0,3,0,0,0,68,1941,0,0,0,0,0,0,3,0,0,10998
1502,0.0,7,0,3,270.0,1,0,6,0.0,3,0,776.0,0,4,0,0,1,77,1931,0,1,0,0,0,0,3,0,1,7200
1063,354.0,5,0,3,280.0,1,0,5,110.0,3,0,412.0,0,3,0,0,1,56,1954,0,1,1,0,1,0,3,1,0,9920
1626,0.0,7,1,4,474.0,1,0,5,106.0,4,0,764.0,0,4,1,0,1,5,2003,0,1,0,0,1,0,2,1,0,2448
1524,353.0,6,0,4,440.0,1,0,5,513.0,4,1,403.0,0,4,0,0,1,6,2000,0,0,0,0,1,0,2,0,0,2998
1981,622.0,4,0,3,576.0,1,0,3,0.0,4,0,500.0,0,3,0,0,0,81,1928,0,0,0,0,0,0,4,0,2,7804
2784,790.0,7,0,3,564.0,1,0,5,184.0,4,0,133.0,0,4,0,0,1,28,1978,0,1,0,0,1,0,5,0,2,16692
1092,176.0,4,0,3,0.0,1,0,7,0.0,3,0,370.0,0,3,1,0,1,40,1970,0,0,0,0,0,0,3,0,0,1476
1575,0.0,6,0,3,400.0,1,0,6,522.0,4,0,216.0,0,3,0,0,1,55,1951,0,0,1,0,1,0,2,0,1,10170
1352,371.0,6,0,3,299.0,1,0,7,143.0,3,0,292.0,0,3,0,0,1,41,1969,0,0,0,0,1,0,4,1,0,9364
1200,368.0,7,0,4,480.0,1,0,5,0.0,4,0,190.0,0,4,1,0,1,6,2004,0,1,0,0,0,0,2,0,0,2544
936,486.0,5,0,3,240.0,1,0,6,0.0,3,0,450.0,0,3,0,0,1,52,1954,0,0,1,0,0,0,2,0,0,9888
1040,85.0,6,0,3,293.0,1,0,7,0.0,3,0,0.0,0,3,0,0,1,54,1953,0,0,1,0,0,0,3,0,0,7942
1636,138.0,6,0,3,386.0,1,0,5,0.0,3,0,778.0,0,4,0,0,1,12,1996,0,0,0,0,0,0,3,0,1,15038
2270,524.0,8,0,4,671.0,1,0,7,348.0,4,0,628.0,0,4,0,0,1,11,1999,0,0,0,0,1,1,4,0,1,11764
2610,64.0,8,0,4,550.0,3,0,5,0.0,5,0,1120.0,0,4,0,0,1,0,2007,0,0,0,0,0,0,4,0,1,9000
1483,1092.0,7,0,4,690.0,4,0,7,0.0,3,0,328.0,0,4,0,0,1,33,1977,0,1,1,0,0,0,1,0,2,20062
1740,360.0,5,0,2,225.0,1,0,5,0.0,5,0,576.0,0,3,0,0,1,88,1920,0,0,0,0,0,0,2,0,1,7308
1382,172.0,5,0,3,350.0,1,0,5,0.0,4,0,727.0,0,3,0,0,1,54,1955,0,0,1,0,0,0,3,0,0,8750
1120,206.0,5,0,3,0.0,1,0,5,0.0,3,0,914.0,0,4,0,0,1,0,2007,0,0,1,0,0,0,3,0,0,8402
1098,246.0,7,0,3,216.0,1,0,8,0.0,3,0,285.0,0,4,0,0,1,77,1930,0,0,0,0,0,0,2,0,1,4000
1708,0.0,7,0,4,380.0,1,0,5,117.0,4,1,976.0,0,4,0,0,0,2,2004,0,0,0,0,1,0,3,1,0,3363
1802,0.0,9,1,5,843.0,4,0,5,510.0,5,0,1802.0,0,5,0,0,1,1,2006,0,0,1,0,1,0,3,1,1,13615
1506,16.0,7,0,4,440.0,4,0,5,145.0,4,1,1346.0,0,4,0,0,1,1,2005,0,0,0,0,1,0,2,0,1,3013
1508,1346.0,7,0,4,572.0,4,0,5,96.0,4,0,162.0,0,4,0,0,1,1,2009,0,1,1,0,1,0,1,1,2,17485
2032,700.0,7,0,4,786.0,2,0,5,668.0,4,0,1140.0,0,5,0,0,1,12,1996,0,0,1,0,1,0,3,0,0,23730
1194,655.0,6,0,3,539.0,2,0,6,0.0,3,0,0.0,0,3,0,1,1,47,1959,0,0,1,0,0,0,3,0,1,8910
1709,0.0,7,0,4,380.0,1,0,5,50.0,4,0,970.0,0,4,1,0,0,2,2004,0,0,0,0,1,0,3,1,0,2522
1616,0.0,7,0,4,834.0,3,0,5,228.0,4,0,1616.0,0,4,0,0,1,1,2005,0,1,1,0,1,0,3,0,0,8688
768,0.0,6,0,4,440.0,1,0,6,0.0,3,0,768.0,0,3,0,0,1,78,1930,0,0,0,0,0,0,1,0,0,6291
872,0.0,5,0,3,322.0,1,0,5,65.0,2,0,872.0,0,3,0,1,0,82,1924,0,0,0,0,1,0,2,1,1,17529
520,0.0,4,0,3,240.0,1,0,6,0.0,2,0,520.0,0,3,0,0,1,81,1927,0,0,0,0,0,0,1,0,0,6324
2274,443.0,5,0,3,480.0,1,0,5,361.0,3,0,662.0,0,3,0,0,1,50,1960,0,0,0,0,1,0,5,0,0,11600
1601,0.0,5,0,4,0.0,1,0,7,0.0,3,0,936.0,0,3,0,0,1,82,1925,0,0,0,0,0,0,3,0,0,7288
1232,168.0,5,0,3,480.0,1,0,7,0.0,3,0,448.0,0,3,0,0,1,97,1910,0,0,0,0,0,0,3,0,0,4571
2234,1904.0,9,0,5,1166.0,1,1,5,748.0,5,0,312.0,0,5,0,0,1,1,2008,0,0,1,0,1,0,1,1,1,17423
1416,0.0,5,0,3,720.0,2,0,8,0.0,3,0,876.0,0,3,0,0,1,93,1915,0,0,0,0,0,0,4,0,1,12665
864,240.0,4,0,3,576.0,1,0,7,0.0,3,0,624.0,0,3,0,0,1,38,1971,0,0,1,0,0,0,3,0,0,9000
1189,864.0,6,0,3,392.0,1,0,5,197.0,3,1,325.0,0,5,0,0,1,11,1997,0,1,0,0,1,0,2,0,0,4500
1666,415.0,9,1,5,575.0,1,0,5,572.0,4,1,1251.0,0,5,0,0,1,0,2006,0,1,0,0,1,0,2,0,1,6373
