id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtunfsf,heatingqc,electrical,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagecond,paveddrive,wooddecksf,mosold,yrsold,saleprice,porch,pool,garage,fireplace,bsmt,masvnr,agesold,remodelled,bighouse,2ndflr
109,60,RL,0.0,13517,1,Lvl,CulDSac,flat,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,CBlock,3,1,GLQ,533.0,192.0,5,SBrkr,1479,0.0,2,1,3,1,4,Typ,0,0,Attchd,RFn,475.0,3,Y,0,3,2010,130500,1,0,1,0,1,1,34,0,0,1
544,60,RL,43.0,11492,1,Lvl,CulDSac,flat,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,PConc,4,1,GLQ,637.0,276.0,5,SBrkr,2122,1.0,2,1,4,1,4,Typ,1,3,Attchd,RFn,559.0,3,Y,0,4,2009,220000,1,0,1,1,1,1,13,0,0,1
153,20,RL,68.0,7922,0,Lvl,Inside,flat,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,1,GLQ,731.0,326.0,3,SBrkr,1057,1.0,1,0,3,1,4,Typ,0,0,Detchd,Unf,246.0,3,Y,0,1,2010,109000,1,0,1,0,1,0,57,0,0,0
318,60,RL,73.0,9802,0,Lvl,Inside,flat,Timber,Norm,Norm,1Fam,2Story,5,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,1,Unf,0.0,384.0,4,SBrkr,1444,0.0,2,1,3,1,3,Typ,0,0,BuiltIn,Fin,400.0,3,Y,100,4,2010,174000,0,0,1,0,1,0,4,0,0,1
255,50,RL,82.0,14235,1,Lvl,Inside,flat,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,PConc,2,1,Unf,0.0,676.0,3,SBrkr,1445,0.0,2,0,3,1,3,Typ,0,0,Detchd,Unf,484.0,3,N,0,3,2010,138500,1,0,1,0,1,0,110,0,0,1
138,20,RL,137.0,16492,1,Lvl,Corner,flat,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,Gable,CompShg,BrkFace,Plywood,None,0.0,4,CBlock,3,1,ALQ,247.0,557.0,5,SBrkr,1888,0.0,2,1,2,1,4,Mod,1,4,Attchd,Fin,578.0,3,Y,0,6,2010,190000,0,0,1,1,1,0,44,0,0,0
2827,180,RM,35.0,3675,0,Lvl,Inside,flat,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,PConc,4,4,GLQ,547.0,0.0,4,SBrkr,1072,1.0,2,0,2,1,3,Typ,0,0,Basment,Fin,525.0,3,Y,0,6,2006,140000,1,0,1,0,1,1,1,0,0,0
145,20,RL,0.0,12160,1,Lvl,Inside,flat,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,CBlock,3,1,Rec,1000.0,188.0,2,SBrkr,1188,1.0,1,0,3,1,3,Typ,0,0,Attchd,RFn,531.0,3,Y,0,5,2010,142000,0,0,1,0,1,1,51,1,0,0
1942,20,RL,0.0,15783,0,Lvl,Inside,flat,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,Rec,292.0,632.0,3,SBrkr,924,0.0,1,0,2,1,3,Typ,0,0,Detchd,Unf,420.0,3,Y,0,6,2007,112500,1,0,1,0,1,0,55,1,0,0
1956,60,RL,70.0,11606,1,HLS,Inside,sloped,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,PConc,4,3,Rec,650.0,390.0,3,SBrkr,2080,0.0,1,2,5,1,2,Typ,2,3,Attchd,Unf,504.0,3,Y,335,9,2007,135000,0,0,1,1,1,1,38,1,0,1
1044,160,RM,21.0,1680,0,Lvl,Inside,flat,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,CBlock,3,1,ALQ,387.0,96.0,3,SBrkr,987,0.0,1,1,2,1,3,Typ,0,0,Detchd,Unf,264.0,3,Y,0,7,2008,85400,0,0,1,0,1,1,37,1,0,1
2752,20,RL,64.0,7488,1,Lvl,Inside,flat,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,3,GLQ,393.0,815.0,5,SBrkr,1208,0.0,2,0,2,1,4,Typ,0,0,Attchd,RFn,632.0,3,Y,105,2,2006,183600,1,0,1,0,1,0,1,1,0,0
807,70,RL,120.0,26400,0,Bnk,FR2,flat,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,PConc,0,0,None,0.0,0.0,5,SBrkr,2016,0.0,1,0,4,1,3,Mod,1,3,Attchd,Unf,576.0,3,P,0,6,2009,131000,0,0,1,1,1,0,129,0,0,1
1177,160,FV,24.0,2645,0,Lvl,Inside,flat,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,PConc,4,1,GLQ,813.0,147.0,5,SBrkr,1607,1.0,2,1,3,1,4,Typ,0,0,Detchd,Unf,480.0,3,Y,169,12,2008,200000,0,0,1,0,1,1,9,0,0,1
1480,20,RL,74.0,9627,0,Lvl,Inside,flat,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,PConc,4,3,GLQ,24.0,1327.0,5,SBrkr,1361,0.0,2,0,3,1,4,Typ,0,0,Attchd,RFn,610.0,3,Y,0,6,2008,193000,1,0,1,0,1,0,1,1,0,0
324,20,RL,93.0,10114,0,Lvl,Inside,flat,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,5,3,Unf,0.0,1430.0,5,SBrkr,1430,0.0,2,0,3,1,4,Typ,0,0,Attchd,RFn,624.0,3,Y,0,3,2010,173500,0,0,1,0,1,0,6,0,0,0
1311,70,RM,34.0,4571,0,Lvl,Inside,flat,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,BrkTil,3,1,Unf,0.0,624.0,2,SBrkr,1344,0.0,1,0,4,1,3,Typ,0,0,Detchd,Unf,513.0,2,Y,0,5,2008,98000,1,0,1,0,1,0,92,0,0,1
770,20,RL,80.0,8816,0,Lvl,Corner,flat,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,1,Rec,651.0,470.0,3,SBrkr,1121,1.0,1,0,3,1,3,Typ,0,0,Detchd,Unf,480.0,3,Y,0,6,2009,139000,1,0,1,0,1,0,46,1,0,0
2063,20,RL,71.0,8197,0,Lvl,Inside,flat,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,CBlock,3,1,Unf,0.0,660.0,5,SBrkr,1285,0.0,1,1,3,1,3,Typ,1,3,Attchd,RFn,528.0,3,Y,138,4,2007,143500,0,0,1,1,1,1,30,1,0,0
69,60,FV,72.0,8640,0,Lvl,Inside,flat,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,2,GLQ,24.0,732.0,5,SBrkr,1547,0.0,2,1,3,1,4,Typ,0,0,Attchd,Unf,614.0,3,Y,169,6,2010,215200,1,0,1,0,1,0,1,1,0,1
2062,20,RL,109.0,8724,0,Lvl,Inside,flat,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,4,1,BLQ,492.0,402.0,4,SBrkr,894,0.0,1,0,3,1,3,Typ,1,1,Attchd,Fin,450.0,3,Y,0,5,2007,129000,0,0,1,1,1,0,39,1,0,0
351,120,RL,40.0,5664,1,Lvl,Inside,flat,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,PConc,4,1,GLQ,1158.0,343.0,5,SBrkr,1659,1.0,2,0,2,1,5,Typ,1,5,Attchd,Fin,499.0,3,Y,212,10,2009,278000,1,0,1,1,1,0,9,1,0,0
2393,60,RL,103.0,12867,1,Lvl,Corner,flat,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,PConc,5,3,Unf,0.0,1209.0,5,SBrkr,2253,0.0,2,1,3,1,5,Typ,1,4,Attchd,Fin,575.0,3,Y,243,7,2006,344133,1,0,1,1,1,0,1,0,0,1
12,20,RL,0.0,7980,1,Lvl,Inside,flat,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,PConc,4,1,ALQ,935.0,233.0,5,SBrkr,1187,1.0,2,0,3,1,3,Typ,0,0,Attchd,Fin,420.0,3,Y,483,3,2010,185000,1,0,1,0,1,0,18,0,0,0
2339,190,RL,100.0,34650,0,Bnk,Inside,flat,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,2,Rec,1056.0,0.0,3,SBrkr,1056,1.0,1,0,3,1,3,Typ,0,0,Attchd,Fin,572.0,3,Y,264,1,2006,145000,0,0,1,0,1,0,51,1,0,0
624,20,RL,92.0,10573,1,Lvl,Corner,flat,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,CBlock,3,1,Rec,1312.0,141.0,5,SBrkr,1453,1.0,2,0,3,1,3,Typ,1,3,Attchd,RFn,530.0,3,Y,0,4,2009,187500,1,0,1,1,1,1,48,1,0,0
86,20,RL,65.0,8450,0,Lvl,Inside,flat,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,1,GLQ,553.0,224.0,5,SBrkr,894,1.0,1,0,3,1,3,Typ,1,4,Detchd,Unf,336.0,3,Y,416,4,2010,138500,1,0,1,1,1,0,45,0,0,0
1534,50,RL,0.0,11700,1,HLS,Inside,sloped,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,CBlock,3,1,BLQ,606.0,336.0,5,SBrkr,1938,0.0,2,0,4,1,4,Min2,1,4,Detchd,Unf,240.0,3,Y,0,7,2008,198000,1,0,1,1,1,0,71,0,0,1
2243,190,C (all),75.0,8250,0,Lvl,Inside,flat,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,1,Unf,0.0,957.0,2,SBrkr,1991,0.0,2,0,4,2,3,Typ,0,0,None,None,0.0,0,N,0,6,2007,119600,1,0,0,0,1,0,112,0,0,1
1957,50,RL,60.0,8064,0,Lvl,Corner,flat,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,2,Unf,0.0,672.0,5,SBrkr,924,0.0,1,0,3,1,3,Typ,1,1,Detchd,Unf,576.0,3,Y,0,7,2007,122900,0,0,1,1,1,0,58,0,0,1
380,20,RL,80.0,9600,0,Lvl,Inside,flat,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,PConc,4,1,ALQ,1104.0,1420.0,3,SBrkr,2524,1.0,2,1,4,1,4,Typ,1,4,Attchd,Fin,542.0,3,Y,474,7,2009,278000,1,0,1,1,1,0,28,1,0,0
2860,70,RL,0.0,11435,1,HLS,Corner,sloped,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,Gable,CompShg,BrkFace,Stucco,None,0.0,3,PConc,4,1,Unf,0.0,792.0,2,SBrkr,1517,0.0,1,0,3,1,4,Typ,2,4,Detchd,Unf,400.0,3,Y,0,6,2006,230000,0,0,1,1,1,0,77,0,0,1
